serial,id,title,creator,description,date,place,geo,ekt_type,digital_type,europeana_type,file_type,language,keywords,an_project,color,method,collection_title,notes,registration_date,documenter,collection_slug
1,cmt_amorgos_archival_hozoviotissa_001,Διενέργεια αλιείας,Δημήτρης Βεκρής,Ο Δημήτρης Βεκρής διενεργεί αλιεία.,2015,Νικουριά,,,,,,,"Δημήτρης Βεκρής, αλιεία",,,,,,,Πάρις Τσιριγώτης,hozoviotissa
2,cmt_amorgos_archival_hozoviotissa_002,Αποθήκευση αλιέυματος μαρίδας,Δημήτρης Βεκρής,Μεταφορά αλιέυματος μαρίδας απο καφάσια σε αφρολέξ μετά απο αλιεία.,2015,Νικουριά,,,,,,,,,,,,,,Πάρις Τσιριγώτης,hozoviotissa
3,cmt_amorgos_archival_hozoviotissa_003,Αλιεία απο καΐκι ,Δημήτρης Βεκρής,"Αλιεία απο καΐκι. Αριστερά Γιάννης Βεκρής, Δεξιά Δημήτρης Βεκρής. ",g. 1970,Αμοργός,,,,,,,,,,,,,,Πάρις Τσιριγώτης,hozoviotissa
4,cmt_amorgos_archival_hozoviotissa_004,Τρία καΐκια και ένα ιστιοπλοικό ,Δημήτρης Βεκρής,3 Καΐκια και 1 Ιστιοπλοικό.,g. 2000,Αντικέρι,,,,,,,,,,,,,,Πάρις Τσιριγώτης,hozoviotissa
5,cmt_amorgos_archival_hozoviotissa_005,"Αλιεία με το καΐκι ""Πανορμίτης"" ",Δημήτρης Βεκρής,"Αλιεία με το καΐκι ""Πανορμίτης"" ",g. 1970,Αιγιάλη,,,,,,,,,,,,,,Πάρις Τσιριγώτης,hozoviotissa
6,cmt_amorgos_archival_hozoviotissa_006,"Το καΐκι ""Κατερινα"" ",Δημήτρης Βεκρής,"Το καΐκι ""Κατερινα"" ",g. 1990,Αιγιάλη,,,,,,,,,,,,,,Πάρις Τσιριγώτης,hozoviotissa
7,cmt_amorgos_archival_hozoviotissa_007,Ζύγιση συναγρίδας απο καΐκι,Δημήτρης Βεκρής,Ο Γιαννης Βεκρής ζυγίζει μία συναγρίδα μέσα σε καΐκι.,g. 1970,Αμοργός,,,,,,,,,,,,,,Πάρις Τσιριγώτης,hozoviotissa
8,cmt_amorgos_archival_hozoviotissa_008,"Αλιεία με  βιντζότρατα ""Πανορμιτης""",Δημήτρης Βεκρής,"Ο Γιαννης Βεκρής δινεργεί αλιεία με την βιντζότρατα ""Πανορμιτης"".",1970,Αμοργός,,,,,,,,,,,,,,Πάρις Τσιριγώτης,hozoviotissa
9,cmt_amorgos_archival_hozoviotissa_009,Πλέξιμο σκοινιών αλιείας,Δημήτρης Βεκρής,Ο Γιαννης Βεκρής φτιάχνει τα σκοινιά αλιείας,1960,Αιγιάλη,,,,,,,,,,,,,,Πάρις Τσιριγώτης,hozoviotissa
10,cmt_amorgos_archival_hozoviotissa_010,"Το καΐκι ""Δημητράκης"" στο λιμάνι",Δημήτρης Βεκρής,"Το καΐκι ""Δημητράκης"" δεμένο στο Λιμάνι",1983,Αιγιάλη,,,,,,,,,,,,,,Πάρις Τσιριγώτης,hozoviotissa
11,cmt_amorgos_archival_hozoviotissa_011,Ψάρια στο καφάσι ,Δημήτρης Βεκρής,Ο Γιάννης Βεκρής τοποθετεί αλίευμα σε καφάσι μέσα σε καΐκι. ,1970,Αμοργός,,,,,,,"Γιάννης Βεκρής, αλίευμα, καϊκι",,,,,,,Πάρις Τσιριγώτης,hozoviotissa
12,cmt_amorgos_archival_hozoviotissa_012,Αλιείς σε καΐκι,Δημήτρης Βεκρής,"Αλιείς μέσα σε καΐκι.Γιάννης Βεκρής, Δημήτρης Βεκρής",1980,Λεβρεσό ,,,,,,,"αλιείς, καϊκι, Δημήτρης Βεκρής, Γιάννης Βεκρής, Λεβρεσό",,,,,,,Πάρις Τσιριγώτης,hozoviotissa
13,cmt_amorgos_archival_hozoviotissa_013,Καθάρισμα διχτυών σε λιμάνι,Δημήτρης Βεκρής,"Καθάρισμα Διχτυών σε λιμάνι.Γιάννης Βεκρής, Δημήτρης Βεκρής",1973,Αιγιάλη,,,,,,,"καθάρισμα διχτυών, ""Πανορμίτης"", Δημήτρης Βεκρής, Γιάννης Βεκρής, Αιγιαλή",,,,,,,Πάρις Τσιριγώτης,hozoviotissa
14,cmt_amorgos_archival_hozoviotissa_014,Αλίευμα σε καΐκι,Δημήτρης Βεκρής,"Αλίευμα μέσα στο καΐκι ""Πανορμίτης"" . Γιάννης Βεκρής, Δημήτρης Βεκρής",1973,Αιγιάλη,,,,,,,"αλίευμα, καϊκι, ""Πανορμίτης"", Δημήτρης Βεκρής, Γιάννης Βεκρής, Αιγιαλή",,,,,,,Πάρις Τσιριγώτης,hozoviotissa
15,cmt_amorgos_archival_hozoviotissa_015,Ρίξιμο διχτυών απο καΐκη,Δημήτρης Βεκρής,"Ρίξιμο Διχτυών απο το καΐκη ""Πανορμίτης"".Δημήτρης Βεκρής",1973,Νικουριά,,,,,,,"ρίξιμο διχτυών, ""Πανορμίτης"", Δημήτρης Βεκρής, Νικουριά",,,,,,,Πάρις Τσιριγώτης,hozoviotissa
16,cmt_amorgos_archival_hozoviotissa_016,Ο Γιάννης Βεκρής στο καΐκι του,Δημήτρης Βεκρής,Ο Γιάννης Βεκρής καθαρίζει δίχτυα στο καΐκι του,1980,Αμοργός,,,,,,,,,,,,,,,hozoviotissa
17,cmt_amorgos_archival_hozoviotissa_017,Λιμάνι Αιγιάλη,Ιωάννης Βεκρής,Καράβι και καΐκια στο λιμάνι της Αιγιάλης,1980,Αμοργός,,,,,,,,,,,,,,,hozoviotissa
18,cmt_amorgos_archival_hozoviotissa_018,Ο Γιάννης Βεκρής μπαλώνει δίχτυα,Ιωάννης Βεκρής,"Ο Γιάννης Βεκρής στο καΐκι Νεκτάριος στην Αιγιάλη, μπαλώνει δίχτυα",1970,Αμοργός,,,,,,,,,,,,,,,hozoviotissa
19,cmt_amorgos_archival_hozoviotissa_019,Καΐκια και ιστιοφόρο στην Κέρο,Ιωάννης Βεκρής,Καΐκια και ιστιοφόρο στην Κέρο,g. 2000,Κέρος,,,,,,,,,,,,,,,hozoviotissa
20,cmt_amorgos_archival_hozoviotissa_020,"Το καΐκι ""Ανάληψη"" ",Ιωάννης Βεκρής,"Το καΐκι ""Ανάληψη"" εν πλώ",1998,Αμοργός,,,,,,,,,,,,,,,hozoviotissa
21,cmt_amorgos_archival_hozoviotissa_021,"Το καΐκι ""Ανάληψη"" ",Ιωάννης Βεκρής,"Το καΐκι ""Ανάληψη""  στα κύματα",1998,Αμοργός,,,,,,,,,,,,,,,hozoviotissa
22,cmt_amorgos_archival_hozoviotissa_022,"Το καΐκι ""Ανάληψη"" ",Ιωάννης Βεκρής,"Το καΐκι ""Ανάληψη"" στο σούρουπο",1998,Αμοργός,,,,,,,,,,,,,,,hozoviotissa
23,cmt_amorgos_archival_hozoviotissa_023,"Το καΐκι ""Ανάληψη"" ",Ιωάννης Βεκρής,"Το καΐκι ""Ανάληψη""  στο λιμάνι",1994,Αμοργός,,,,,,,,,,,,,,,hozoviotissa
